,Unnamed: 0.1,Unnamed: 0,name,year,month,day,hour,lat,long,wind,pressure,status_disturbance,status_extratropical,status_hurricane,status_other low,status_subtropical depression,status_subtropical storm,status_tropical depression,status_tropical storm,status_tropical wave,bearing_last_deg,displacment_km,speed_kmh,last_loc_lat,last_loc_long,land
17,17,18,Amy,1975,7,1,6,36.2,-69.4,60,984,0,0,0,0,0,0,0,1,0,0.0,35.97416515613578,5.995694192689297,36.2,-69.8,0
18,18,19,Amy,1975,7,1,12,36.2,-68.3,60,984,0,0,0,0,0,0,0,1,0,0.0,98.92849428001917,16.488082380003195,36.2,-69.4,0
19,19,20,Amy,1975,7,1,18,36.7,-67.2,60,984,0,0,0,0,0,0,0,1,0,24.443954780416647,113.14945857380211,18.858243095633686,36.2,-68.3,0
20,20,21,Amy,1975,7,2,0,37.4,-66.7,60,984,0,0,0,0,0,0,0,1,0,54.462322208025455,89.515719489841,14.919286581640167,36.7,-67.2,0
21,21,22,Amy,1975,7,2,6,37.3,-65.9,60,984,0,0,0,0,0,0,0,1,0,-7.125016348901923,71.74500202103808,11.95750033683968,37.4,-66.7,0
22,22,23,Amy,1975,7,2,12,37.3,-65.1,60,981,0,0,0,0,0,0,0,1,0,0.0,70.9283870378778,11.8213978396463,37.3,-65.9,0
23,23,24,Amy,1975,7,2,18,37.3,-64.1,60,986,0,0,0,0,0,0,0,1,0,0.0,88.66033502616861,14.776722504361436,37.3,-65.1,0
24,24,25,Amy,1975,7,3,0,37.7,-62.8,55,986,0,0,0,0,0,0,0,1,0,17.102728969052638,123.22642119919263,20.537736866532104,37.3,-64.1,0
25,25,26,Amy,1975,7,3,6,38.2,-61.2,55,986,0,0,0,0,0,0,0,1,0,17.354024636261382,151.179358390879,25.196559731813167,37.7,-62.8,0
26,26,27,Amy,1975,7,3,12,39.3,-59.6,55,986,0,0,0,0,0,0,0,1,0,34.50852298766824,185.08027987389585,30.846713312315973,38.2,-61.2,0
27,27,28,Amy,1975,7,3,18,40.5,-58.0,50,986,0,0,0,0,0,0,0,1,0,36.86989764584406,190.97729387234577,31.829548978724294,39.3,-59.6,0
28,28,29,Amy,1975,7,4,0,42.5,-54.8,50,986,0,0,0,0,0,0,0,1,0,32.00538320808347,347.41520298341845,57.902533830569745,40.5,-58.0,0
29,29,30,Amy,1975,7,4,6,44.5,-51.6,50,986,0,0,0,0,0,0,0,1,0,32.005383208083536,341.0598276498146,56.84330460830244,42.5,-54.8,0
30,30,31,Amy,1975,7,4,12,47.0,-48.0,45,995,0,1,0,0,0,0,0,0,0,34.77783136636387,394.4772048490827,65.74620080818045,44.5,-51.6,0
31,31,32,Blanche,1975,7,24,0,26.0,-68.4,20,1014,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
32,32,33,Blanche,1975,7,24,6,26.0,-69.5,20,1014,0,0,0,0,0,0,1,0,0,-0.0,110.1291611438523,18.35486019064205,26.0,-68.4,0
33,33,34,Blanche,1975,7,24,12,26.1,-70.5,25,1014,0,0,0,0,0,0,1,0,0,-5.710593137499724,100.68640766167474,16.781067943612456,26.0,-69.5,0
34,34,35,Blanche,1975,7,24,18,26.5,-71.5,30,1013,0,0,0,0,0,0,1,0,0,-21.801409486351744,109.25342215976943,18.208903693294904,26.1,-70.5,0
35,35,36,Blanche,1975,7,25,0,27.2,-72.5,30,1012,0,0,0,0,0,0,1,0,0,-34.992020198558635,126.06759465768249,21.011265776280414,26.5,-71.5,0
36,36,37,Blanche,1975,7,25,6,28.0,-73.6,30,1010,0,0,0,0,0,0,1,0,0,-36.02737338510377,140.18322593354895,23.363870988924827,27.2,-72.5,0
37,37,38,Blanche,1975,7,25,12,28.9,-74.3,30,1007,0,0,0,0,0,0,1,0,0,-52.12501634890164,121.03663824442033,20.172773040736722,28.0,-73.6,0
38,38,39,Blanche,1975,7,25,18,29.9,-74.9,30,1006,0,0,0,0,0,0,1,0,0,-59.03624346792613,125.20939876113691,20.86823312685615,28.9,-74.3,0
39,39,40,Blanche,1975,7,26,0,31.0,-75.0,30,1005,0,0,0,0,0,0,1,0,0,-84.8055710922655,122.32372699172191,20.387287831953653,29.9,-74.9,0
40,40,41,Blanche,1975,7,26,6,32.2,-74.6,35,1004,0,0,0,0,0,0,0,1,0,71.56505117707779,138.36448901194987,23.06074816865831,31.0,-75.0,0
41,41,42,Blanche,1975,7,26,12,33.4,-73.5,35,1003,0,0,0,0,0,0,0,1,0,47.489552921999206,168.2996163083468,28.049936051391132,32.2,-74.6,0
42,42,43,Blanche,1975,7,26,18,34.2,-72.2,50,998,0,0,0,0,0,0,0,1,0,31.60750224624909,149.5484391491265,24.92473985818775,33.4,-73.5,0
43,43,44,Blanche,1975,7,27,0,35.0,-71.0,60,992,0,0,0,0,0,0,0,1,0,33.690067525979636,141.39347397034817,23.56557899505803,34.2,-72.2,0
44,44,45,Blanche,1975,7,27,6,35.9,-70.0,65,987,0,0,1,0,0,0,0,0,0,41.987212495816614,134.95309350005732,22.492182250009552,35.0,-71.0,0
45,45,46,Blanche,1975,7,27,12,36.9,-69.0,70,984,0,0,1,0,0,0,0,0,0,45.0,142.6889538675883,23.781492311264717,35.9,-70.0,0
46,46,47,Blanche,1975,7,27,18,37.9,-68.0,75,981,0,0,1,0,0,0,0,0,0,45.0,141.97530740271705,23.662551233786175,36.9,-69.0,0
47,47,48,Blanche,1975,7,28,0,39.3,-67.2,75,980,0,0,1,0,0,0,0,0,0,60.25511870305783,170.31880068540679,28.38646678090113,37.9,-68.0,0
48,48,49,Blanche,1975,7,28,6,41.2,-66.4,70,980,0,0,1,0,0,0,0,0,0,67.16634582208259,221.67984257170434,36.94664042861739,39.3,-67.2,0
49,49,50,Blanche,1975,7,28,12,44.0,-65.2,60,988,0,1,0,0,0,0,0,0,0,66.80140948635174,326.2455885379548,54.3742647563258,41.2,-66.4,1
50,50,51,Blanche,1975,7,28,18,47.2,-62.4,60,992,0,1,0,0,0,0,0,0,0,48.81407483429034,417.3246090365248,69.55410150608746,44.0,-65.2,0
51,51,52,Caroline,1975,8,24,12,22.4,-69.8,25,1011,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
52,52,53,Caroline,1975,8,24,18,21.9,-71.1,25,1011,0,0,0,0,0,0,1,0,0,21.03751102542186,145.07831002396816,24.179718337328026,22.4,-69.8,0
53,53,54,Caroline,1975,8,25,0,21.6,-72.5,25,1010,0,0,0,0,0,0,1,0,0,12.094757077011941,148.57919287564388,24.763198812607314,21.9,-71.1,0
54,54,55,Caroline,1975,8,25,6,21.2,-73.8,25,1010,0,0,0,0,0,0,1,0,0,17.102728969052492,141.8866964629919,23.647782743831982,21.6,-72.5,0
55,55,56,Caroline,1975,8,25,12,20.9,-75.1,25,1011,0,0,0,0,0,0,1,0,0,12.994616791916561,139.13860856149697,23.189768093582828,21.2,-73.8,0
56,56,57,Caroline,1975,8,25,18,20.6,-76.4,25,1011,0,0,0,0,0,0,1,0,0,12.994616791916275,139.39942767595284,23.23323794599214,20.9,-75.1,1
57,57,58,Caroline,1975,8,26,0,20.4,-77.7,25,1011,0,0,0,0,0,0,1,0,0,8.74616226255535,137.4018795762138,22.900313262702298,20.6,-76.4,0
58,58,59,Caroline,1975,8,26,6,20.3,-79.0,25,1011,0,0,0,0,0,0,1,0,0,4.398705354995449,136.18835428955333,22.698059048258887,20.4,-77.7,0
59,59,60,Caroline,1975,8,26,12,20.2,-80.3,25,1012,0,0,0,0,0,0,1,0,0,4.398705354995605,136.27520519774956,22.712534199624926,20.3,-79.0,0
60,60,61,Caroline,1975,8,26,18,20.2,-81.6,25,1012,0,0,0,0,0,0,1,0,0,-0.0,135.86822190673396,22.644703651122327,20.2,-80.3,0
61,61,62,Caroline,1975,8,27,0,20.4,-82.8,25,1013,0,0,0,0,0,0,1,0,0,-9.462322208025563,127.27723683953938,21.212872806589896,20.2,-81.6,0
62,62,63,Caroline,1975,8,27,6,20.8,-84.0,25,1013,0,0,0,0,0,0,1,0,0,-18.434948822922063,132.70059937056462,22.11676656176077,20.4,-82.8,0
63,63,64,Caroline,1975,8,27,12,21.1,-85.1,25,1014,0,0,0,0,0,0,1,0,0,-15.255118703057885,119.12913700726516,19.854856167877525,20.8,-84.0,0
64,64,65,Caroline,1975,8,27,18,21.5,-86.3,25,1014,0,0,0,0,0,0,1,0,0,-18.43494882292191,132.15483502033464,22.02580583672244,21.1,-85.1,0
65,65,66,Caroline,1975,8,28,0,22.0,-87.5,25,1014,0,0,0,0,0,0,1,0,0,-22.619864948040377,135.91650104906415,22.652750174844027,21.5,-86.3,0
66,66,67,Caroline,1975,8,28,6,22.4,-88.8,25,1014,0,0,0,0,0,0,1,0,0,-17.10272896905235,141.17910165117982,23.529850275196637,22.0,-87.5,0
67,67,68,Caroline,1975,8,28,12,22.8,-90.1,25,1013,0,0,0,0,0,0,1,0,0,-17.102728969052492,140.81618497790674,23.46936416298446,22.4,-88.8,0
68,68,69,Caroline,1975,8,28,18,22.9,-91.0,25,1010,0,0,0,0,0,0,1,0,0,-6.340191745909736,93.03321945779247,15.505536576298745,22.8,-90.1,0
69,69,70,Caroline,1975,8,29,0,23.0,-91.9,30,1007,0,0,0,0,0,0,1,0,0,-6.3401917459099595,92.96602684922792,15.494337808204653,22.9,-91.0,0
70,70,71,Caroline,1975,8,29,6,23.1,-92.6,35,1003,0,0,0,0,0,0,0,1,0,-8.130102354156223,72.58898949506234,12.098164915843723,23.0,-91.9,0
71,71,72,Caroline,1975,8,29,12,23.2,-93.2,40,999,0,0,0,0,0,0,0,1,0,-9.462322208025288,62.43532774569917,10.405887957616528,23.1,-92.6,0
72,72,73,Caroline,1975,8,29,18,23.2,-93.6,50,994,0,0,0,0,0,0,0,1,0,-0.0,40.94833446388493,6.824722410647489,23.2,-93.2,0
73,73,74,Caroline,1975,8,30,0,23.3,-94.2,65,990,0,0,1,0,0,0,0,0,0,-9.462322208025617,62.39039042798268,10.39839840466378,23.2,-93.6,0
74,74,75,Caroline,1975,8,30,6,23.5,-94.9,65,990,0,0,1,0,0,0,0,0,0,-15.94539590092274,74.90241241114057,12.483735401856762,23.3,-94.2,0
75,75,76,Caroline,1975,8,30,12,23.7,-95.6,65,989,0,0,1,0,0,0,0,0,0,-15.945395900923048,74.79950460502137,12.466584100836895,23.5,-94.9,0
76,76,77,Caroline,1975,8,30,18,23.8,-96.3,70,987,0,0,1,0,0,0,0,0,0,-8.13010235415606,72.21741014318881,12.036235023864803,23.7,-95.6,0
77,77,78,Caroline,1975,8,31,0,24.0,-97.0,100,973,0,0,1,0,0,0,0,0,0,-15.94539590092274,74.64361687671428,12.440602812785713,23.8,-96.3,0
78,78,79,Caroline,1975,8,31,6,24.1,-97.5,100,963,0,0,1,0,0,0,0,0,0,-11.30993247402037,52.048303712951295,8.674717285491882,24.0,-97.0,0
79,79,80,Caroline,1975,8,31,12,24.3,-97.8,90,963,0,0,1,0,0,0,0,0,0,-33.69006752597994,37.6780846773615,6.279680779560249,24.1,-97.5,1
80,80,81,Caroline,1975,8,31,18,24.8,-98.0,55,993,0,0,0,0,0,0,0,1,0,-68.1985905136479,58.9734841082066,9.828914018034434,24.3,-97.8,1
81,81,82,Caroline,1975,9,1,0,25.1,-98.3,30,1000,0,0,0,0,0,0,1,0,0,-45.000000000000334,44.96957800559698,7.4949296675994965,24.8,-98.0,1
82,82,83,Caroline,1975,9,1,6,25.2,-98.7,20,1002,0,0,0,0,0,0,1,0,0,-14.036243467925999,41.82449989493596,6.970749982489327,25.1,-98.3,1
83,83,84,Caroline,1975,9,1,12,25.3,-99.0,20,1002,0,0,0,0,0,0,1,0,0,-18.434948822922422,32.18961521146802,5.364935868578004,25.2,-98.7,1
84,84,85,Doris,1975,8,28,12,33.3,-46.3,35,1005,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0
85,85,86,Doris,1975,8,28,18,33.6,-47.5,40,1005,0,0,0,0,0,1,0,0,0,-14.036243467926637,116.42616691709341,19.404361152848903,33.3,-46.3,0
86,86,87,Doris,1975,8,29,0,34.5,-48.1,40,1005,0,0,0,0,0,1,0,0,0,-56.309932474020115,114.17111519016763,19.02851919836127,33.6,-47.5,0
87,87,88,Doris,1975,8,29,6,34.7,-48.5,45,1005,0,0,0,0,0,1,0,0,0,-26.5650511770784,42.87832351599502,7.1463872526658365,34.5,-48.1,0
88,88,89,Doris,1975,8,29,12,34.9,-48.9,45,1005,0,0,0,0,0,0,0,1,0,-26.56505117707758,42.80326932927849,7.133878221546415,34.7,-48.5,0
89,89,90,Doris,1975,8,29,18,35.2,-49.1,50,1000,0,0,0,0,0,0,0,1,0,-56.309932474020215,37.9559591155823,6.3259931859303835,34.9,-48.9,0
90,90,91,Doris,1975,8,30,0,35.3,-48.9,55,997,0,0,0,0,0,0,0,1,0,26.56505117707636,21.316618145651827,3.5527696909419713,35.2,-49.1,0
91,91,92,Doris,1975,8,30,6,35.3,-48.5,55,997,0,0,0,0,0,0,0,1,0,0.0,36.38146975450963,6.0635782924182715,35.3,-48.9,0
92,92,93,Doris,1975,8,30,12,35.3,-48.0,55,997,0,0,0,0,0,0,0,1,0,0.0,45.47681984624624,7.579469974374373,35.3,-48.5,0
93,93,94,Doris,1975,8,30,18,35.0,-47.1,55,997,0,0,0,0,0,0,0,1,0,-18.43494882292188,88.50521308778974,14.750868847964957,35.3,-48.0,0
94,94,95,Doris,1975,8,31,0,34.9,-46.3,65,990,0,0,1,0,0,0,0,0,0,-7.125016348901861,73.91204198437799,12.318673664062999,35.0,-47.1,0
95,95,96,Doris,1975,8,31,6,34.8,-45.7,65,990,0,0,1,0,0,0,0,0,0,-9.462322208025839,55.98277273573461,9.330462122622436,34.9,-46.3,0
96,96,97,Doris,1975,8,31,12,34.7,-45.2,70,990,0,0,1,0,0,0,0,0,0,-11.309932474019588,47.10729575685641,7.851215959476068,34.8,-45.7,0
97,97,98,Doris,1975,8,31,18,34.6,-44.9,70,990,0,0,1,0,0,0,0,0,0,-18.43494882292201,29.655576856568945,4.942596142761491,34.7,-45.2,0
98,98,99,Doris,1975,9,1,0,34.5,-44.6,75,984,0,0,1,0,0,0,0,0,0,-18.434948822922422,29.6860997323641,4.94768328872735,34.6,-44.9,0
99,99,100,Doris,1975,9,1,6,34.6,-44.2,75,984,0,0,1,0,0,0,0,0,0,14.036243467926719,38.3533370473384,6.392222841223067,34.5,-44.6,0
100,100,101,Doris,1975,9,1,12,34.9,-44.0,75,984,0,0,1,0,0,0,0,0,0,56.30993247401959,37.98651552100544,6.331085920167573,34.6,-44.2,0
101,101,102,Doris,1975,9,1,18,35.4,-44.0,75,984,0,0,1,0,0,0,0,0,0,90.0,55.471663131215145,9.245277188535857,34.9,-44.0,0
102,102,103,Doris,1975,9,2,0,35.8,-44.4,90,970,0,0,1,0,0,0,0,0,0,-45.0,57.30140327556118,9.550233879260196,35.4,-44.0,0
103,103,104,Doris,1975,9,2,6,36.4,-44.5,95,965,0,0,1,0,0,0,0,0,0,-80.53767779197428,67.18273563391159,11.197122605651932,35.8,-44.4,0
104,104,105,Doris,1975,9,2,12,37.0,-44.3,95,965,0,0,1,0,0,0,0,0,0,71.56505117707779,68.94002153014414,11.490003588357355,36.4,-44.5,0
105,105,106,Doris,1975,9,2,18,37.7,-44.2,95,965,0,0,1,0,0,0,0,0,0,81.86989764584452,78.19254293276663,13.032090488794438,37.0,-44.3,0
106,106,107,Doris,1975,9,3,0,38.4,-43.8,95,965,0,0,1,0,0,0,0,0,0,60.25511870305728,85.2620354829056,14.210339247150934,37.7,-44.2,0
107,107,108,Doris,1975,9,3,6,39.7,-43.6,95,965,0,0,1,0,0,0,0,0,0,81.253837737445,145.35599358633922,24.225998931056537,38.4,-43.8,0
108,108,109,Doris,1975,9,3,12,41.1,-43.0,95,965,0,0,1,0,0,0,0,0,0,66.80140948635174,163.58989007310035,27.26498167885006,39.7,-43.6,0
109,109,110,Doris,1975,9,3,18,42.0,-42.5,90,970,0,0,1,0,0,0,0,0,0,60.945395900922826,108.31305503628344,18.052175839380574,41.1,-43.0,0
110,110,111,Doris,1975,9,4,0,42.8,-42.0,60,995,0,0,0,0,0,0,0,1,0,57.994616791916414,97.93575093229848,16.32262515538308,42.0,-42.5,0
111,111,112,Doris,1975,9,4,6,43.2,-41.4,45,1005,0,1,0,0,0,0,0,0,0,33.6900675259801,66.09254615392179,11.015424358986964,42.8,-42.0,0
112,112,113,Doris,1975,9,4,12,43.5,-40.7,45,1005,0,1,0,0,0,0,0,0,0,23.19859051364812,65.81647919100976,10.969413198501627,43.2,-41.4,0
113,113,114,Eloise,1975,9,13,12,17.6,-55.2,25,1009,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
114,114,115,Eloise,1975,9,13,18,17.7,-56.3,25,1009,0,0,0,0,0,0,1,0,0,-5.194428907734722,117.24649436180209,19.541082393633683,17.6,-55.2,0
115,115,116,Eloise,1975,9,14,0,17.8,-57.3,25,1009,0,0,0,0,0,0,1,0,0,-5.710593137499724,106.62902508761299,17.77150418126883,17.7,-56.3,0
116,116,117,Eloise,1975,9,14,6,17.9,-58.3,25,1009,0,0,0,0,0,0,1,0,0,-5.710593137499521,106.57030355023743,17.761717258372904,17.8,-57.3,0
117,117,118,Eloise,1975,9,14,12,18.0,-59.4,25,1009,0,0,0,0,0,0,1,0,0,-5.194428907734872,117.05252433622653,19.508754056037755,17.9,-58.3,0
118,118,119,Eloise,1975,9,14,18,18.1,-60.5,25,1009,0,0,0,0,0,0,1,0,0,-5.194428907734872,116.98716436780359,19.497860727967264,18.0,-59.4,0
119,119,120,Eloise,1975,9,15,0,18.3,-61.7,25,1009,0,0,0,0,0,0,1,0,0,-9.462322208025563,128.85730121612892,21.47621686935482,18.1,-60.5,0
120,120,121,Eloise,1975,9,15,6,18.5,-62.8,25,1009,0,0,0,0,0,0,1,0,0,-10.30484646876605,118.31906294740878,19.71984382456813,18.3,-61.7,0
121,121,122,Eloise,1975,9,15,12,18.8,-63.8,30,1007,0,0,0,0,0,0,1,0,0,-16.69924423399366,110.61194055414907,18.43532342569151,18.5,-62.8,0
122,122,123,Eloise,1975,9,15,18,18.9,-64.8,30,1007,0,0,0,0,0,0,1,0,0,-5.710593137499521,105.9655526759131,17.660925445985516,18.8,-63.8,0
123,123,124,Eloise,1975,9,16,0,19.0,-65.6,35,1007,0,0,0,0,0,0,0,1,0,-7.125016348901923,84.9826202151994,14.163770035866568,18.9,-64.8,0
124,124,125,Eloise,1975,9,16,6,19.2,-66.7,45,1007,0,0,0,0,0,0,0,1,0,-10.304846468765918,117.84968158538325,19.641613597563875,19.0,-65.6,0
125,125,126,Eloise,1975,9,16,12,19.4,-67.5,55,1002,0,0,0,0,0,0,0,1,0,-14.036243467926479,86.94721456803963,14.491202428006604,19.2,-66.7,0
126,126,127,Eloise,1975,9,16,18,19.5,-68.4,65,1002,0,0,1,0,0,0,0,0,0,-6.3401917459099595,95.15115189284218,15.858525315473697,19.4,-67.5,0
127,127,128,Eloise,1975,9,17,0,19.6,-69.2,65,997,0,0,1,0,0,0,0,0,0,-7.125016348901923,84.67958506029497,14.113264176715829,19.5,-68.4,0
128,128,129,Eloise,1975,9,17,6,19.7,-70.2,60,1000,0,0,0,0,0,0,0,1,0,-5.710593137499521,105.4588798918614,17.5764799819769,19.6,-69.2,0
129,129,130,Eloise,1975,9,17,12,19.7,-71.2,55,1000,0,0,0,0,0,0,0,1,0,-0.0,104.84375559882874,17.473959266471457,19.7,-70.2,1
130,130,131,Eloise,1975,9,17,18,19.8,-72.2,50,1000,0,0,0,0,0,0,0,1,0,-5.710593137499724,105.39412164650204,17.565686941083673,19.7,-71.2,0
131,131,132,Eloise,1975,9,18,0,19.9,-73.3,45,1000,0,0,0,0,0,0,0,1,0,-5.194428907734722,115.75080250620853,19.29180041770142,19.8,-72.2,0
132,132,133,Eloise,1975,9,18,6,19.9,-74.5,45,1000,0,0,0,0,0,0,0,1,0,-0.0,125.6553471462515,20.942557857708582,19.9,-73.3,0
133,133,134,Eloise,1975,9,18,12,19.9,-75.7,40,1000,0,0,0,0,0,0,0,1,0,-0.0,125.6553471462515,20.942557857708582,19.9,-74.5,0
134,134,135,Eloise,1975,9,18,18,20.0,-77.0,40,1000,0,0,0,0,0,0,0,1,0,-4.398705354995605,136.5332937683253,22.75554896138755,19.9,-75.7,1
135,135,136,Eloise,1975,9,19,0,20.0,-78.2,35,1000,0,0,0,0,0,0,0,1,0,-0.0,125.57623507795809,20.929372512993016,20.0,-77.0,0
136,136,137,Eloise,1975,9,19,6,19.9,-79.1,35,1000,0,0,0,0,0,0,0,1,0,6.340191745910058,94.8601315852918,15.810021930881966,20.0,-78.2,0
137,137,138,Eloise,1975,9,19,12,19.9,-79.8,35,1000,0,0,0,0,0,0,0,1,0,-0.0,73.29905490553813,12.216509150923022,19.9,-79.1,0
138,138,139,Eloise,1975,9,19,18,19.8,-81.0,35,1000,0,0,0,0,0,0,0,1,0,4.7636416907260655,126.18128796683415,21.030214661139023,19.9,-79.8,0
139,139,140,Eloise,1975,9,20,0,19.8,-82.2,35,1000,0,0,0,0,0,0,0,1,0,-0.0,125.73407782027896,20.95567963671316,19.8,-81.0,0
140,140,141,Eloise,1975,9,20,6,19.8,-83.4,35,1000,0,0,0,0,0,0,0,1,0,-0.0,125.73407782027896,20.95567963671316,19.8,-82.2,0
141,141,142,Eloise,1975,9,20,12,19.9,-84.6,35,1006,0,0,0,0,0,0,0,1,0,-4.763641690726121,126.18128796683274,21.03021466113879,19.8,-83.4,0
142,142,143,Eloise,1975,9,20,18,20.0,-85.5,35,1006,0,0,0,0,0,0,0,1,0,-6.3401917459099595,94.86013158529282,15.810021930882137,19.9,-84.6,0
143,143,144,Eloise,1975,9,21,0,20.2,-86.4,40,1001,0,0,0,0,0,0,0,1,0,-12.52880770915139,96.69171855328919,16.1152864255482,20.0,-85.5,0
144,144,145,Eloise,1975,9,21,6,20.8,-87.1,45,1001,0,0,0,0,0,0,0,1,0,-40.601294645005,98.71242466485995,16.45207077747666,20.2,-86.4,1
145,145,146,Eloise,1975,9,21,12,21.4,-87.8,50,1001,0,0,0,0,0,0,0,1,0,-40.60129464500425,98.50255725054451,16.417092875090752,20.8,-87.1,1
146,146,147,Eloise,1975,9,21,18,22.4,-88.5,55,995,0,0,0,0,0,0,0,1,0,-55.00797980144123,132.26077195722016,22.043461992870025,21.4,-87.8,0
147,147,148,Eloise,1975,9,22,0,23.6,-88.9,60,995,0,0,0,0,0,0,0,1,0,-71.56505117707779,139.07606523895083,23.179344206491805,22.4,-88.5,0
148,148,149,Eloise,1975,9,22,6,24.8,-89.4,65,993,0,0,1,0,0,0,0,0,0,-67.38013505195956,142.28893463368038,23.71482243894673,23.6,-88.9,0
149,149,150,Eloise,1975,9,22,12,25.8,-89.5,75,986,0,0,1,0,0,0,0,0,0,-84.28940686250068,111.23415906297664,18.539026510496107,24.8,-89.4,0
150,150,151,Eloise,1975,9,22,18,26.5,-89.4,85,980,0,0,1,0,0,0,0,0,0,81.86989764584447,78.19513479590951,13.032522465984918,25.8,-89.5,0
151,151,152,Eloise,1975,9,23,0,27.3,-88.5,95,968,0,0,1,0,0,0,0,0,0,41.633539336570045,125.90037668724568,20.983396114540948,26.5,-89.4,0
152,152,153,Eloise,1975,9,23,6,28.4,-87.3,105,958,0,0,1,0,0,0,0,0,0,42.51044707800072,169.791066467482,28.29851107791367,27.3,-88.5,0
153,153,154,Eloise,1975,9,23,12,30.2,-86.3,110,955,0,0,1,0,0,0,0,0,0,60.945395900922875,221.9084545534916,36.984742425581935,28.4,-87.3,0
154,154,155,Eloise,1975,9,23,18,33.0,-85.7,55,982,0,0,0,0,0,0,0,1,0,77.90524292298802,315.64003661186285,52.60667276864381,30.2,-86.3,1
155,155,156,Eloise,1975,9,24,0,35.5,-84.3,30,999,0,0,0,0,0,0,1,0,0,60.751173663452924,305.8246211266291,50.970770187771514,33.0,-85.7,1
156,156,157,Eloise,1975,9,24,6,36.5,-83.5,20,1004,0,1,0,0,0,0,0,0,0,51.34019174591001,132.34200029411792,22.057000049019653,35.5,-84.3,1
157,157,158,Eloise,1975,9,24,12,37.0,-82.5,20,1004,0,1,0,0,0,0,0,0,0,26.565051177077994,105.13530175828826,17.522550293048045,36.5,-83.5,1
158,158,159,Eloise,1975,9,24,18,37.5,-81.5,20,1004,0,1,0,0,0,0,0,0,0,26.565051177077994,104.64316785875957,17.44052797645993,37.0,-82.5,1
159,159,160,Faye,1975,9,24,18,23.0,-56.9,25,1005,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
